url,company,time,company_homepage,company_address,position,position_desc,company_desc
http://talent.baidu.com/baidu/web/templet1000/index/corpwebPosition1000baidu!getOnePosition?postIdEnc=F0A775509009E53DD81D0CD878BAC807&brandCode=1&recruitType=2&lanType=1&operational=6637AA56FA08745E71A74EA6AC68D5FFF28F462DA4C19FB3FABC8882DE74DA1C0FDB6AEAC9F8C487108CCBE39D45983B54F375AA1CAE83E6A21F36A7DBB429FDA1AA45697C458F4E577A7AF5A80647D4A17AFB04BB0C06035C5CDF3E1DE02801AB10A9B85B15FB32B59CCCD575ADE9881C8FE41D11E20AFFA9511543837DA597ADA993F4A79495C679D35888897C39FD21D98BCC2FE67575CAED499E9C86325CC3D44DA1C73F4DA945C7FA90CE9460F2,百度在线网络技术垂直搜索产品市场部,"
                    2013-11-08
                  ",http://www.baidu.com,北京市,电话客服经理,"-负责百度影棒产品电话客服团队的人员面试/日常排班的管理
-负责定期汇总和整理，通过电话客服信息并反馈给产品/研发/市场推广
-负责新入职电话客服人员，产品和沟通技能的日常培训","-拥有2年以上电话客服经验，并负责过20人以上的电话客服团队的管理
-具有较强的语言表达和沟通能力，良好的电话沟通技巧，以及团队人员管理能力
-具备互联网公司电话客服与团队管理经验的优先
-接受公司与部门的企业文化，可接受节假日/周末等值班安排
-具备良好的工作抗压能力"
http://talent.baidu.com/baidu/web/templet1000/index/corpwebPosition1000baidu!getOnePosition?postIdEnc=ADDDA2C999864E51F816AAD3D0DF3E42&brandCode=1&recruitType=2&lanType=1&operational=6637AA56FA08745E71A74EA6AC68D5FFF28F462DA4C19FB3FABC8882DE74DA1C0FDB6AEAC9F8C487108CCBE39D45983B54F375AA1CAE83E6A21F36A7DBB429FDA1AA45697C458F4EC32CB3FD0222CB1A21E38560B51DCC10DB7F8D2E42D5492BA463AE98C819D445E3B8090A3A0351A61C8FE41D11E20AFFA9511543837DA597ADA993F4A79495C679D35888897C39FD21D98BCC2FE67575CAED499E9C86325CC3D44DA1C73F4DA945C7FA90CE9460F2,百度在线网络技术流程信息管理部,"
                    2013-11-08
                  ",http://www.baidu.com,北京市,数据仓库工程师,"-完成数据仓库项目设计与程序开发工作
-数据仓库相关的应用系统的数据处理及模型建设，完成ETL过程的设计与实现
-参与业务数据分析体系的数据统计、分析及建模
-参与ETL工具的开发和优化","-两年及以上Oracle数据库开发经验
-精通Oracle数据库开发技术、精通PLSQL
-有权限管理模型与元数据管理模型经验者优先
-熟悉SQL调优、拥有OCP认证者优先
-了解商业数据仓库产品相关经验优先
-熟悉Linux操作系统或熟悉Java编程优先
-有数据仓库建模、海量数据处理、数据挖掘经验为佳
-有OracleERP开发或业务背景为佳
-学习能力强，拥有优秀的逻辑思维能力
-自我管理能力强，有良好的时间意识
-有较好的沟通交流能力"
http://talent.baidu.com/baidu/web/templet1000/index/corpwebPosition1000baidu!getOnePosition?postIdEnc=F0979C621540F3A172EEA80B78D4F01A&brandCode=1&recruitType=2&lanType=1&operational=6637AA56FA08745E71A74EA6AC68D5FFF28F462DA4C19FB3FABC8882DE74DA1C0FDB6AEAC9F8C487108CCBE39D45983B54F375AA1CAE83E6A21F36A7DBB429FDA1AA45697C458F4E577A7AF5A80647D437F73BC8411030D0B2A6EADB715215378352F916D187D27B5C43D775BC3D82151C8FE41D11E20AFFA9511543837DA597ADA993F4A79495C679D35888897C39FD21D98BCC2FE67575CAED499E9C86325CC3D44DA1C73F4DA945C7FA90CE9460F2,百度在线网络技术垂直搜索产品市场部,"
                    2013-11-08
                  ",http://www.baidu.com,北京市,电视厂商渠道合作经理,"-负责建立并维护垂直搜索市场部门硬件中心与电视厂商就智能硬件的业务合作关系
-与电视厂商的初步联络和谈判，协助签署协议，产品的定期推荐、产品实施协调、市场与合作跟进
-负责部门间的联络、协调和驱动
-配合部门的需求，完成相关的文档、调查、分析、报告并且紧密沟通","-五年以上电子消费类产品业务商务拓展经验
-具备丰富的电子消费类产品渠道拓展经验
-有电视厂商，电子消费类产品厂商工作经验者优先考虑
-具有优秀的谈判和公关能力，文字能力"
http://talent.baidu.com/baidu/web/templet1000/index/corpwebPosition1000baidu!getOnePosition?postIdEnc=F8E19386C132C5FA0B861EE66D2667D5&brandCode=1&recruitType=2&lanType=1&operational=6637AA56FA08745E71A74EA6AC68D5FFF28F462DA4C19FB3FABC8882DE74DA1C0FDB6AEAC9F8C487108CCBE39D45983B54F375AA1CAE83E6A21F36A7DBB429FDA1AA45697C458F4E577A7AF5A80647D4993FDBEA3EA91E1FDA7641158232D1429DA54BED694EB82016BAC2EF17C11A481C8FE41D11E20AFFA9511543837DA597ADA993F4A79495C679D35888897C39FD21D98BCC2FE67575CAED499E9C86325CC3D44DA1C73F4DA945C7FA90CE9460F2,百度在线网络技术用户产品市场部,"
                    2013-11-08
                  ",http://www.baidu.com,北京市,产品市场推广经理(偏向媒体合作),"-了解百度产品，能结合产品推广计划，制定媒体合作规划
-至少了解1-2类媒体，熟悉媒体的合作形式
-熟练的书写媒体合作策划书，工作进度监督和结果检查
-能有效协调调动相关公关传播，活动运营，进行产品的整合营销
-能够主动创造和发掘新的产品商业模式和合作模型","-本科或以上学历，市场营销或新闻传播专业
-熟练的英文书写和口语表达
-熟悉互联网行业
-熟悉各类型媒体，策划并执行过大型媒体项目者优先
-较强的市场活动策划能力及较好的文案功底，具有大型市场活动策划和执行经验
-思维活跃，有较好的创意能力及学习能力
-5年以上市场策划和执行经验，有一定的互联网行业基础者优先"
http://talent.baidu.com/baidu/web/templet1000/index/corpwebPosition1000baidu!getOnePosition?postIdEnc=31AB4D674E0020D3F816AAD3D0DF3E42&brandCode=1&recruitType=2&lanType=1&operational=6637AA56FA08745E71A74EA6AC68D5FFF28F462DA4C19FB3FABC8882DE74DA1C0FDB6AEAC9F8C487108CCBE39D45983B54F375AA1CAE83E6A21F36A7DBB429FDA1AA45697C458F4E789E76768D88B043921113B14D7041D910D5C821EFA232E7A463AE98C819D445E3B8090A3A0351A61C8FE41D11E20AFFA9511543837DA597ADA993F4A79495C679D35888897C39FD21D98BCC2FE67575CAED499E9C86325CC3D44DA1C73F4DA945C7FA90CE9460F2,百度在线网络技术软件研究部,"
                    2013-11-08
                  ",http://www.baidu.com,上海市,运维工程师（上海）,"-参与百度海量服务的系统架构的可运维性设计与改造
-产品多地域部署规划，容量规划与集群性能优化
-探索、研究新的运维自动化技术和方向","-2年以上大规模系统运维和开发经验
-深入理解Linux操作系统、体系结构，精通或熟练掌握Python/Shell/Perl/C等1至2种语言
-精通WEB/数据库技术
-能够结合产品需求制定并实施综合性的运维技术方案，有很强的分析问题和解决问题的能力
-具有良好的沟通能力和团队合作精神，有强烈的责任心与主动性，对所负责工作有owner意识，并能自我驱动成长
-计算机相关专业本科以上学历
-符合以下条件之一优先考虑：分布式系统理论与实践、自动化运维（监控、部署、调度、虚拟化等）方向领域的工作经验;具备Hadoop/Hbase/Hive/Zookeeper等大规模集群的开发、运维经验"
http://talent.baidu.com/baidu/web/templet1000/index/corpwebPosition1000baidu!getOnePosition?postIdEnc=64BF157F65B38B63&brandCode=1&recruitType=2&lanType=1&operational=6637AA56FA08745E71A74EA6AC68D5FFF28F462DA4C19FB3FABC8882DE74DA1C0FDB6AEAC9F8C487108CCBE39D45983B54F375AA1CAE83E6A21F36A7DBB429FDA1AA45697C458F4E39A7ED57320CF149C3AC5DFB35F177C82EA978E52F2A0AE61C8FE41D11E20AFFA9511543837DA597ADA993F4A79495C679D35888897C39FD21D98BCC2FE67575CAED499E9C86325CC3D44DA1C73F4DA945C7FA90CE9460F2,百度在线网络技术互联网数据研发部,"
                    2013-11-08
                  ",http://www.baidu.com,北京市,Spider研发高级工程师,"-负责百度爬虫spider的核心技术研究和开发
-研究各种网站、网页、链接的形态，发现它们的特点和规律
-设计各种策略和算法，提升spider的抓取效果
-分析spider的技术缺陷，对spider做出合理地调整或改进
-负责spider系统的升级和维护
研究方向主要有：
-抓取调度和抓取行为反馈
-互联网特征挖掘
-Spider系统架构","-热爱互联网，对搜索技术、探索未知领域有浓厚的兴趣
-优秀的分析问题和解决问题的能力，对解决具有挑战性问题充满激情
-精通C/C++语言编程，熟悉linux平台、shell编程
-对数据结构和算法设计有较为深刻的理解
-具有良好的沟通能力，和良好的团队合作精神
-搜索相关领域如网页抓取、解析/信息挖掘/统计分析工作经验、多语言研发经验优先"
http://talent.baidu.com/baidu/web/templet1000/index/corpwebPosition1000baidu!getOnePosition?postIdEnc=4497D9C6D5B71D34&brandCode=1&recruitType=2&lanType=1&operational=6637AA56FA08745E71A74EA6AC68D5FFF28F462DA4C19FB3FABC8882DE74DA1C0FDB6AEAC9F8C487108CCBE39D45983B54F375AA1CAE83E6A21F36A7DBB429FDA1AA45697C458F4E6127CE004B316FC9CA9FBBFAE3BA85D8B1762D1A6C0DA3091C8FE41D11E20AFFA9511543837DA597ADA993F4A79495C679D35888897C39FD21D98BCC2FE67575CAED499E9C86325CC3D44DA1C73F4DA945C7FA90CE9460F2,百度在线网络技术自然语言处理部,"
                    2013-11-08
                  ",http://www.baidu.com,北京市,机器学习高级研发工程师/研究员（北京）,"-机器学习基础理论研究和实用技术开发
-面向全百度提供通用机器学习模型、方法和模块的开发
-利用机器学习技术解决百度各产品线的应用技术问题","-扎实的机器学习理论和技术基础，有一定的相关研究或工程经验
-熟悉当前机器学习领域热点和前沿技术
-精通至少一门编程语言，熟练运用各种常用算法和数据结构，有独立的实现能力
-优秀的分析问题和解决问题能力，对解决具有挑战性问题充满激情"
http://talent.baidu.com/baidu/web/templet1000/index/corpwebPosition1000baidu!getOnePosition?postIdEnc=D4DD744C3304E65A&brandCode=1&recruitType=2&lanType=1&operational=6637AA56FA08745E71A74EA6AC68D5FFF28F462DA4C19FB3FABC8882DE74DA1C0FDB6AEAC9F8C487108CCBE39D45983B54F375AA1CAE83E6A21F36A7DBB429FDA1AA45697C458F4ECFB8A8436BC90963B8F1A484AAD2DD95FC9FED10D5E0E4991C8FE41D11E20AFFA9511543837DA597ADA993F4A79495C679D35888897C39FD21D98BCC2FE67575CAED499E9C86325CC3D44DA1C73F4DA945C7FA90CE9460F2,百度在线网络技术自然语言处理部,"
                    2013-11-08
                  ",http://www.baidu.com,深圳市,机器学习高级研发工程师/研究员（深圳）,"-机器学习基础理论研究和实用技术开发
-面向全百度提供通用机器学习模型、方法和模块的开发
-利用机器学习技术解决百度各产品线的应用技术问题","-扎实的机器学习理论和技术基础，有一定的相关研究或工程经验
-熟悉当前机器学习领域热点和前沿技术
-精通至少一门编程语言，熟练运用各种常用算法和数据结构，有独立的实现能力
-优秀的分析问题和解决问题能力，对解决具有挑战性问题充满激情"
http://talent.baidu.com/baidu/web/templet1000/index/corpwebPosition1000baidu!getOnePosition?postIdEnc=57EE9A46AB2E9421&brandCode=1&recruitType=2&lanType=1&operational=6637AA56FA08745E71A74EA6AC68D5FFF28F462DA4C19FB3FABC8882DE74DA1C0FDB6AEAC9F8C487108CCBE39D45983B54F375AA1CAE83E6A21F36A7DBB429FDA1AA45697C458F4EECC7339733ADA69BF5334B23303D7AA2C0C8C6FCDF6B2FB51C8FE41D11E20AFFA9511543837DA597ADA993F4A79495C679D35888897C39FD21D98BCC2FE67575CAED499E9C86325CC3D44DA1C73F4DA945C7FA90CE9460F2,百度在线网络技术推荐与个性化部,"
                    2013-11-08
                  ",http://www.baidu.com,北京市,高级产品架构师,"-负责推荐类产品发展方向决策，参与公司个性化推荐战略制定
-根据对百度用户的理解，设计或优化推荐类产品，提升推荐效果以更好的满足用户需求
-了解行动向，及时、准确地研究、监控、分析行业动态，并提出相应的对策
-培养和指导产品设计师进行业务提升，培养产品设计师梯队","-2年或以上互联网产品相关经验
-用户导向，卓越的产品感觉和用户感觉，深刻的用户分析能力
-丰富的独立产品设计经验
-卓越的数理分析能力，逻辑性强，对于数据的分析能做到科学、准确
-高度的责任心，工作细致耐心，对数据实事求是，客观严谨
-具有良好的沟通能力、推动能力、协调能力，拥有强烈的责任心和团队合作精神
-大学本科及以上学历，有在推荐方面的产品或技术经验者优先"
http://talent.baidu.com/baidu/web/templet1000/index/corpwebPosition1000baidu!getOnePosition?postIdEnc=E4ED85367A06DFF0&brandCode=1&recruitType=2&lanType=1&operational=6637AA56FA08745E71A74EA6AC68D5FFF28F462DA4C19FB3FABC8882DE74DA1C0FDB6AEAC9F8C487108CCBE39D45983B54F375AA1CAE83E6A21F36A7DBB429FDA1AA45697C458F4E19C411FCA14A2E26970F427CF9F898F10BB1F8F77EF7DF411C8FE41D11E20AFFA9511543837DA597ADA993F4A79495C679D35888897C39FD21D98BCC2FE67575CAED499E9C86325CC3D44DA1C73F4DA945C7FA90CE9460F2,百度在线网络技术互联网数据研发部,"
                    2013-11-08
                  ",http://www.baidu.com,北京市,数据挖掘高级工程师,"-负责百度搜索引擎基础数据挖掘核心技术研究和开发
-负责搜索引擎所覆盖到的网页、站点、媒体资源等数据分析和特征建模工作
-海量数据上的数据挖掘，研究网站、网页、链接的形态、特点和规律
-设计策略和算法，及分析系统的技术缺陷，对策略框架做出合理地调整或改进
-主要研究方向：
1）互联网资源特征数据挖掘，包括页面特征、站点结构，资源变化趋势等
2）网页、站点、以及多媒体资源的价值综合判断，不同维度不同粒度的评价等
3）数据挖掘与机器学习的算法应用与优化等","-互联网/软件行业2年以上工作经验，热爱互联网，对搜索技术、探索未知领域有浓厚的兴趣
-优秀的分析问题和解决问题的能力，对解决具有挑战性问题充满激情
-精通C/C++语言编程，熟悉linux平台、shell编程
-具有良好的沟通能力，和良好的团队合作精神
-搜索相关领域如页面解析/信息挖掘/统计分析工作经验、多语言研发经验优先
-有数据挖掘和机器学习背景的优先
"
